country,environment,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Republic of Moldova,Rural,,,0.0003036951498128,0.0,0.0003036951498128,-0.0003036951498128,0.0003036951498128,-1.0,0.0001518475749064
Georgia,Urban,,,0.0003001577170929,0.0,0.0003001577170929,-0.0003001577170929,0.0003001577170929,-1.0,0.00015007885854645
Kyrgyzstan,Urban,,,0.0002920347234395,0.0,0.0002920347234395,-0.0002920347234395,0.0002920347234395,-1.0,0.00014601736171975
Rwanda,Urban,,,0.0002819464893862,0.0,0.0002819464893862,-0.0002819464893862,0.0002819464893862,-1.0,0.0001409732446931
Romania,Urban,1.0,0.0016666666666666668,0.0013852324499446,0.0016666666666666668,0.0013852324499446,0.00028143421672206684,0.00028143421672206684,0.20316750212812465,0.00014071710836103342
Mongolia,Urban,,,0.0002799812489862,0.0,0.0002799812489862,-0.0002799812489862,0.0002799812489862,-1.0,0.0001399906244931
Mauritania,Rural,,,0.0002755267040796,0.0,0.0002755267040796,-0.0002755267040796,0.0002755267040796,-1.0,0.0001377633520398
Eritrea,Urban,,,0.0002723823194396,0.0,0.0002723823194396,-0.0002723823194396,0.0002723823194396,-1.0,0.0001361911597198
Dominican Republic,Rural,,,0.0002698930149329,0.0,0.0002698930149329,-0.0002698930149329,0.0002698930149329,-1.0,0.00013494650746645
Belarus,Rural,,,0.0002650454219462,0.0,0.0002650454219462,-0.0002650454219462,0.0002650454219462,-1.0,0.0001325227109731
Central African Republic,Urban,,,0.0002567914122662,0.0,0.0002567914122662,-0.0002567914122662,0.0002567914122662,-1.0,0.0001283957061331
Lithuania,Urban,,,0.0002550882039196,0.0,0.0002550882039196,-0.0002550882039196,0.0002550882039196,-1.0,0.0001275441019598
Gabon,Urban,,,0.0002421176172796,0.0,0.0002421176172796,-0.0002421176172796,0.0002421176172796,-1.0,0.0001210588086398
Bosnia and Herzegovina,Rural,,,0.0002375320563463,0.0,0.0002375320563463,-0.0002375320563463,0.0002375320563463,-1.0,0.00011876602817315
El Salvador,Rural,,,0.0002350427518396,0.0,0.0002350427518396,-0.0002350427518396,0.0002350427518396,-1.0,0.0001175213759198
