country,gender,age_group,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Ethiopia,Female,18-25,,,0.0022211834576224,0.0,0.0022211834576224,-0.0022211834576224,0.0022211834576224,-1.0,0.0011105917288112
Brazil,Male,46-55,,,0.0022030526932755,0.0,0.0022030526932755,-0.0022030526932755,0.0022030526932755,-1.0,0.00110152634663775
Indonesia,Female,56-65,,,0.0022014044419713,0.0,0.0022014044419713,-0.0022014044419713,0.0022014044419713,-1.0,0.00110070222098565
Bangladesh,Male,26-35,,,0.0021046520904111,0.0,0.0021046520904111,-0.0021046520904111,0.0021046520904111,-1.0,0.00105232604520555
Indonesia,Male,56-65,,,0.0020881695773685,0.0,0.0020881695773685,-0.0020881695773685,0.0020881695773685,-1.0,0.00104408478868425
Brazil,Female,65+,,,0.0020749835669344,0.0,0.0020749835669344,-0.0020749835669344,0.0020749835669344,-1.0,0.0010374917834672
Russian Federation,Female,36-45,,,0.0020169651210245,0.0,0.0020169651210245,-0.0020169651210245,0.0020169651210245,-1.0,0.00100848256051225
Bangladesh,Female,36-45,,,0.0020098776404161,0.0,0.0020098776404161,-0.0020098776404161,0.0020098776404161,-1.0,0.00100493882020805
Russian Federation,Male,36-45,,,0.0019632321285055,0.0,0.0019632321285055,-0.0019632321285055,0.0019632321285055,-1.0,0.00098161606425275
Nigeria,Male,36-45,,,0.0019449365390282,0.0,0.0019449365390282,-0.0019449365390282,0.0019449365390282,-1.0,0.0009724682695141
Brazil,Female,56-65,,,0.0019266409495509,0.0,0.0019266409495509,-0.0019266409495509,0.0019266409495509,-1.0,0.00096332047477545
Nigeria,Female,36-45,,,0.0019002689286828,0.0,0.0019002689286828,-0.0019002689286828,0.0019002689286828,-1.0,0.0009501344643414
Bangladesh,Male,36-45,,,0.0018920276721614,0.0,0.0018920276721614,-0.0018920276721614,0.0018920276721614,-1.0,0.0009460138360807
Indonesia,Female,65+,,,0.0018569199193807,0.0,0.0018569199193807,-0.0018569199193807,0.0018569199193807,-1.0,0.00092845995969035
Mexico,Male,18-25,,,0.0018476897120768,0.0,0.0018476897120768,-0.0018476897120768,0.0018476897120768,-1.0,0.0009238448560384
Philippines,Male,18-25,,,0.0018213176912086,0.0,0.0018213176912086,-0.0018213176912086,0.0018213176912086,-1.0,0.0009106588456043
Mexico,Female,18-25,,,0.001809450281818,0.0,0.001809450281818,-0.001809450281818,0.001809450281818,-1.0,0.000904725140909
Philippines,Female,18-25,,,0.0017883526651234,0.0,0.0017883526651234,-0.0017883526651234,0.0017883526651234,-1.0,0.0008941763325617
Germany,Female,65+,,,0.0017708812012982,0.0,0.0017708812012982,-0.0017708812012982,0.0017708812012982,-1.0,0.0008854406006491
Brazil,Male,56-65,,,0.0017573655406033,0.0,0.0017573655406033,-0.0017573655406033,0.0017573655406033,-1.0,0.00087868277030165
Russian Federation,Female,56-65,,,0.001747970508169,0.0,0.001747970508169,-0.001747970508169,0.001747970508169,-1.0,0.0008739852540845
Mexico,Female,26-35,,,0.0017461574317343,0.0,0.0017461574317343,-0.0017461574317343,0.0017461574317343,-1.0,0.00087307871586715
Russian Federation,Female,46-55,,,0.0016953912915631,0.0,0.0016953912915631,-0.0016953912915631,0.0016953912915631,-1.0,0.00084769564578155
Egypt,Male,18-25,,,0.0016892927617373,0.0,0.0016892927617373,-0.0016892927617373,0.0016892927617373,-1.0,0.00084464638086865
Mexico,Male,26-35,,,0.0016871500350418,0.0,0.0016871500350418,-0.0016871500350418,0.0016871500350418,-1.0,0.0008435750175209
Philippines,Female,35-44,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
China,Male,35-44,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
